IdEmpleado,IdEmpresa,IdLiquidacion,IdTurno,IdPermiso,Fecha,Descripcion,TipoDeDescripcion,MarcacionEntrada,MarcacionSalida,HTRAB,HO,HDES,HED,HEN,HEDF,RN,TempDomLab,HRET,HSANT,HOPermisoRemunerado,IdProgramacion,HoraInicioPermiso,HoraFinPermiso,FechaCompensatorio,nombre_dia
52.0,6.0,2714.0,18.0,,2022-02-04,14:00 - 22:00,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,2022-02-04 14:00:00,2022-02-04 15:00:00,1900-01-01,Friday
52.0,6.0,2714.0,18.0,,2022-02-04,14:00 - 22:00,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1404.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Friday
52.0,6.0,2718.0,,,2022-02-05,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Saturday
52.0,6.0,2724.0,,,2022-02-06,Dom Rem,6.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Sunday
52.0,6.0,2728.0,,,2022-02-01,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Tuesday
52.0,6.0,2732.0,,,2022-02-02,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Wednesday
52.0,6.0,2740.0,19.0,,2022-02-03,06:00 - 14:00,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1403.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
52.0,6.0,2740.0,19.0,,2022-02-03,06:00 - 14:00,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.0,1900-01-01 00:00:00,1900-01-01 00:00:00,1900-01-01,Thursday
52.0,6.0,3062.0,,,2022-09-12,Fecha no Programada.,4.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Monday
52.0,6.0,3063.0,,,2022-09-13,inconsistencia,5.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,Tuesday
